,id,fecha,date,calidad,hora,minuto,aforo,x_lamina,y_lamina,tipo_salida,tramo,codigo_sensor_nivel,codigo_sensor_vel_sup,tipo_aforo,caudal_total,error_caudal,area_mojada,profundidad_media,perimetro_mojado,dispositivo,error_dispositivo,ancho_superficial,velocidad_promedio,radio_hidraulico,longitud,latitud,texto_1,texto_2,timestamp,updated,offset,item_fk_id,user_id
557,1081,2016-07-19,2016-07-19 06:03:00,1.0,6.0,3.0,1.0,,,,,,,,18.186,,31.188,1.552,23.613,MF-PRO,,20.0,0.583,1.321,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,344,1
558,1082,2014-06-12,2014-06-12 13:15:00,1.0,13.0,15.0,1.0,,,,,,,,18.186,,31.188,1.552,23.613,MF-PRO,,20.0,0.583,1.321,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,344,1
559,1083,2014-06-12,2014-06-12 13:15:00,0.0,13.0,15.0,1.0,,,,,,,,18.186,,31.188,1.552,23.613,MF-PRO,,20.0,0.583,1.321,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,344,1
560,1084,2004-07-29,2004-07-29 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,0.23,,0.162,0.145,1.457,MF-PRO,,1.2,1.42,0.111,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,345,1
561,1085,2012-10-31,2012-10-31 06:40:00,1.0,6.0,40.0,1.0,,,,,,,,0.345,,0.151,0.208,1.126,MF-PRO,,0.85,2.285,0.134,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,345,1
562,1086,2013-03-06,2013-03-06 07:35:00,1.0,7.0,35.0,1.0,,,,,,,,0.116,,0.122,0.215,0.931,MF-PRO,,0.6,0.951,0.131,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,345,1
563,1087,2013-07-31,2013-07-31 07:35:00,1.0,7.0,35.0,1.0,,,,,,,,0.089,,0.048,0.158,0.655,MF-PRO,,0.4,1.854,0.073,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,345,1
564,1088,2013-09-18,2013-09-18 10:50:00,1.0,10.0,50.0,1.0,,,,,,,,0.211,,0.226,0.301,1.319,MF-PRO,,1.0,0.934,0.171,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,345,1
565,1089,2014-03-12,2014-03-12 10:50:00,1.0,10.0,50.0,1.0,,,,,,,,0.431,,0.179,0.239,1.252,MF-PRO,,1.0,2.408,0.143,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,345,1
566,1090,2014-11-05,2014-11-05 07:10:00,1.0,7.0,10.0,1.0,,,,,,,,0.156,,0.162,0.216,1.239,MF-PRO,,1.0,0.963,0.131,,,,,2019-02-06 12:39:12,2019-03-20 16:37:59,,345,1
567,1091,2015-04-08,2015-04-08 13:00:00,1.0,13.0,0.0,1.0,,,,,,,,0.291,,0.136,0.34,1.05,MF-PRO,,0.8,2.14,0.13,,,,,2019-02-06 12:39:12,2019-03-20 16:38:24,,345,1
568,1092,2015-02-09,2015-02-09 08:50:00,1.0,8.0,50.0,1.0,,,,,,,,0.109,,0.099,0.172,0.916,MF-PRO,,0.7,1.101,0.108,,,,,2019-02-06 12:39:12,2019-03-20 16:42:33,,345,1
569,1093,2004-07-29,2004-07-29 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,0.061,,0.199,0.046,3.971,MF-PRO,,3.9,0.307,0.05,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,346,1
570,1094,2014-02-12,2014-02-12 07:15:00,1.0,7.0,15.0,1.0,,,,,,,,0.054,,0.081,0.108,0.959,MF-PRO,,0.9,0.667,0.084,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,346,1
571,1095,2014-03-19,2014-03-19 07:00:00,1.0,7.0,0.0,1.0,,,,,,,,0.039,,0.18,0.166,1.428,MF-PRO,,1.2,0.217,0.126,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,346,1
572,1096,2010-03-17,2010-03-17 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,0.353,,0.518,0.178,3.547,MF-PRO,,3.5,0.681,0.146,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,347,1
573,1097,2010-04-28,2010-04-28 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,0.467,,0.614,0.208,3.461,MF-PRO,,3.3,0.761,0.177,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,347,1
574,1098,2010-05-04,2010-05-04 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,0.491,,0.661,0.218,3.713,MF-PRO,,3.6,0.743,0.178,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,347,1
575,1099,2010-05-12,2010-05-12 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,0.491,,0.661,0.218,3.713,MF-PRO,,3.6,0.743,0.178,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,347,1
576,1100,2012-10-24,2012-10-24 09:50:00,1.0,9.0,50.0,1.0,,,,,,,,0.391,,0.53,0.169,3.638,MF-PRO,,3.4,0.738,0.146,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,347,1
577,1101,2013-09-18,2013-09-18 05:55:00,1.0,5.0,55.0,1.0,,,,,,,,0.458,,0.563,0.147,4.124,MF-PRO,,4.0,0.813,0.137,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,347,1
578,1102,2014-10-22,2014-10-22 07:13:00,0.0,7.0,13.0,1.0,,,,,,,,0.534,,0.533,0.233,2.677,MF-PRO,,2.25,1.002,0.199,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,347,1
579,1103,2004-08-03,2004-08-03 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,0.186,,0.442,0.206,2.499,MF-PRO,,2.25,0.421,0.177,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,348,1
580,1104,2010-04-21,2010-04-21 00:00:00,0.0,0.0,0.0,1.0,,,,,,,,1.009,,1.327,0.401,4.135,MF-PRO,,3.7,0.76,0.321,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,348,1
581,1105,2010-05-12,2010-05-12 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,0.294,,0.396,0.105,4.01,MF-PRO,,3.9,0.742,0.099,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,348,1
582,1106,2012-10-31,2012-10-31 09:50:00,1.0,9.0,50.0,1.0,,,,,,,,0.203,,1.33,0.47,4.039,MF-PRO,,3.3,0.153,0.329,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,348,1
583,1107,2013-03-06,2013-03-06 07:45:00,1.0,7.0,45.0,1.0,,,,,,,,0.357,,2.062,0.407,5.466,MF-PRO,,4.8,0.173,0.377,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,348,1
584,1108,2013-07-31,2013-07-31 13:40:00,1.0,13.0,40.0,1.0,,,,,,,,0.096,,0.319,0.257,1.711,MF-PRO,,1.2,0.301,0.186,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,348,1
585,1109,2013-09-18,2013-09-18 13:40:00,0.0,13.0,40.0,1.0,,,,,,,,0.874,,0.542,0.279,2.59,MF-PRO,,2.1,1.613,0.209,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,348,1
586,1110,2014-03-12,2014-03-12 12:00:00,1.0,12.0,0.0,1.0,,,,,,,,0.254,,0.585,0.238,2.815,MF-PRO,,2.4,0.434,0.208,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,348,1
587,1111,2014-11-05,2014-11-05 13:42:00,1.0,13.0,42.0,1.0,,,,,,,,0.311,,0.493,0.238,2.668,MF-PRO,,2.25,0.631,0.185,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,348,1
588,1112,2015-04-08,2015-04-08 10:30:00,1.0,10.0,30.0,1.0,,,,,,,,0.48,,0.851,0.217,4.814,MF-PRO,,4.6,0.564,0.177,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,348,1
589,1113,2015-02-09,2015-02-09 10:18:00,1.0,10.0,18.0,1.0,,,,,,,,0.307,,0.446,0.31,1.951,MF-PRO,,1.6,0.688,0.229,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,348,1
590,1114,2016-06-15,2016-06-15 13:25:00,1.0,13.0,25.0,1.0,,,,,,,,0.181,,0.6,0.418,2.221,MF-PRO,,1.4,0.302,0.27,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,348,1
591,1115,2004-08-03,2004-08-03 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,1.856,,4.56,0.419,10.241,MF-PRO,,9.8,0.407,0.445,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,349,1
592,1116,2004-09-22,2004-09-22 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,2.76,,4.03,0.545,8.787,MF-PRO,,8.0,0.685,0.459,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,349,1
593,1117,2013-07-31,2013-07-31 09:20:00,1.0,9.0,20.0,1.0,,,,,,,,3.125,,5.045,0.544,9.42,MF-PRO,,8.6,0.619,0.536,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,349,1
594,1118,2016-06-15,2016-06-15 07:05:00,1.0,7.0,5.0,1.0,,,,,,,,1.242,,2.712,0.352,8.357,MF-PRO,,8.0,0.458,0.325,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,349,1
595,1119,2004-08-03,2004-08-03 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,0.135,,0.834,0.303,3.112,MF-PRO,,2.9,0.162,0.268,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,350,1
596,1120,2013-04-17,2013-04-17 06:45:00,1.0,6.0,45.0,1.0,,,,,,,,0.046,,0.13,0.107,1.395,MF-PRO,,1.35,0.354,0.093,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,350,1
597,1121,2013-05-22,2013-05-22 09:10:00,1.0,9.0,10.0,1.0,,,,,,,,0.63,,0.647,0.236,3.275,MF-PRO,,3.0,0.974,0.198,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,350,1
598,1122,2013-09-25,2013-09-25 06:40:00,1.0,6.0,40.0,1.0,,,,,,,,0.179,,0.495,0.173,3.134,MF-PRO,,3.0,0.362,0.158,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,350,1
599,1123,2015-04-08,2015-04-08 07:52:00,1.0,7.0,52.0,1.0,,,,,,,,0.758,,0.863,0.317,3.399,MF-PRO,,3.0,0.878,0.254,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,350,1
600,1124,2016-06-15,2016-06-15 09:20:00,1.0,9.0,20.0,1.0,,,,,,,,0.048,,0.155,0.085,1.89,MF-PRO,,1.75,0.31,0.082,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,350,1
601,1125,2004-08-26,2004-08-26 00:00:00,0.0,0.0,0.0,1.0,,,,,,,,0.068,,0.294,0.109,3.042,MF-PRO,,3.0,0.231,0.097,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,351,1
602,1126,2010-04-14,2010-04-14 00:00:00,0.0,0.0,0.0,1.0,,,,,,,,0.13,,0.325,0.13,3.033,MF-PRO,,3.0,0.4,0.107,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,351,1
603,1127,2010-05-12,2010-05-12 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,0.206,,0.219,0.135,2.095,MF-PRO,,1.9,0.941,0.105,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,351,1
604,1128,2012-10-31,2012-10-31 12:45:00,1.0,12.0,45.0,1.0,,,,,,,,0.336,,0.285,0.144,2.247,MF-PRO,,2.1,1.179,0.127,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,351,1
605,1129,2013-03-06,2013-03-06 12:45:00,1.0,12.0,45.0,1.0,,,,,,,,0.365,,0.694,0.18,4.149,MF-PRO,,4.0,0.526,0.167,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,351,1
606,1130,2013-07-31,2013-07-31 12:45:00,1.0,12.0,45.0,1.0,,,,,,,,0.401,,0.423,0.117,5.321,MF-PRO,,5.3,0.948,0.079,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,351,1
607,1131,2013-09-18,2013-09-18 08:30:00,1.0,8.0,30.0,1.0,,,,,,,,0.333,,0.462,0.118,4.06,MF-PRO,,4.0,0.721,0.114,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,351,1
608,1132,2014-03-12,2014-03-12 13:00:00,1.0,13.0,0.0,1.0,,,,,,,,0.296,,0.314,0.121,2.809,MF-PRO,,2.7,0.943,0.112,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,351,1
609,1133,2014-11-05,2014-11-05 10:28:00,1.0,10.0,28.0,1.0,,,,,,,,0.355,,0.391,0.162,2.643,MF-PRO,,2.5,0.908,0.148,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,351,1
610,1134,2015-04-08,2015-04-08 09:30:00,1.0,9.0,30.0,1.0,,,,,,,,0.299,,0.342,0.129,2.877,MF-PRO,,2.75,0.874,0.119,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,351,1
611,1135,2015-02-09,2015-02-09 10:50:00,0.0,10.0,50.0,1.0,,,,,,,,0.355,,0.415,0.166,3.053,MF-PRO,,3.0,0.855,0.136,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,351,1
612,1136,2016-06-15,2016-06-15 14:10:00,1.0,14.0,10.0,1.0,,,,,,,,0.442,,0.44,0.142,3.93,MF-PRO,,3.9,1.005,0.112,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,351,1
613,1137,2016-07-14,2016-07-14 08:32:00,1.0,8.0,32.0,1.0,,,,,,,,0.207,,0.299,0.131,2.505,MF-PRO,,2.4,0.692,0.119,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,351,1
614,1138,2013-04-17,2013-04-17 09:50:00,1.0,9.0,50.0,1.0,,,,,,,,0.024,,0.08,0.067,1.38,MF-PRO,,1.35,0.3,0.058,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,352,1
615,1139,2015-03-11,2015-03-11 08:36:00,0.0,8.0,36.0,1.0,,,,,,,,0.095,,0.074,0.075,1.233,MF-PRO,,1.2,1.284,0.06,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,352,1
616,1140,2016-06-15,2016-06-15 09:30:00,1.0,9.0,30.0,1.0,,,,,,,,0.085,,0.098,0.098,1.242,MF-PRO,,1.2,0.867,0.079,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,352,1
617,1141,2004-08-26,2004-08-26 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,0.152,,0.116,0.056,2.213,MF-PRO,,2.1,1.31,0.052,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,353,1
618,1142,2004-08-26,2004-08-26 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,0.092,,0.259,0.149,1.933,MF-PRO,,1.7,0.355,0.134,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,354,1
619,1143,2004-04-14,2004-04-14 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,1.246,,0.915,0.141,6.502,MF-PRO,,6.42,1.362,0.141,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,355,1
620,1144,2004-04-28,2004-04-28 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,2.101,,1.202,0.166,6.889,MF-PRO,,6.76,1.748,0.174,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,355,1
621,1145,2004-05-12,2004-05-12 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,2.37,,1.473,0.21,6.866,MF-PRO,,6.75,1.609,0.215,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,355,1
622,1146,2004-07-14,2004-07-14 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,2.403,,1.826,0.35,5.232,MF-PRO,,4.8,1.316,0.349,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,355,1
623,1147,2004-07-14,2004-07-14 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,2.892,,1.804,0.34,5.421,MF-PRO,,5.0,1.603,0.333,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,355,1
624,1148,2004-07-14,2004-07-14 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,2.438,,1.735,0.327,5.426,MF-PRO,,5.0,1.405,0.32,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,355,1
625,1149,2004-07-27,2004-07-27 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,3.082,,1.507,0.287,5.235,MF-PRO,,5.0,2.045,0.288,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,355,1
626,1150,2004-07-27,2004-07-27 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,2.429,,1.492,0.285,5.227,MF-PRO,,5.0,1.628,0.285,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,355,1
627,1151,2004-07-27,2004-07-27 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,2.138,,1.395,0.277,5.292,MF-PRO,,5.0,1.533,0.264,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,355,1
628,1152,2004-08-18,2004-08-18 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,3.203,,2.299,0.368,6.575,MF-PRO,,6.0,1.393,0.35,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,355,1
629,1153,2004-08-18,2004-08-18 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,3.889,,2.85,0.337,8.417,MF-PRO,,8.0,1.365,0.339,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,355,1
630,1154,2004-08-29,2004-08-29 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,0.791,,1.362,0.326,4.972,MF-PRO,,4.5,0.581,0.274,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,355,1
631,1155,2004-09-08,2004-09-08 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,1.773,,1.858,0.362,5.599,MF-PRO,,5.0,0.954,0.332,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,355,1
632,1156,2006-07-17,2006-07-17 00:00:00,0.0,0.0,0.0,1.0,,,,,,,,2.27,,2.35,0.317,9.848,MF-PRO,,9.8,0.966,0.239,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,355,1
633,1157,2006-07-24,2006-07-24 00:00:00,0.0,0.0,0.0,1.0,,,,,,,,2.055,,2.352,0.327,9.643,MF-PRO,,9.6,0.874,0.244,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,355,1
634,1158,2006-07-30,2006-07-30 00:00:00,0.0,0.0,0.0,1.0,,,,,,,,3.328,,3.029,0.447,9.095,MF-PRO,,9.0,1.099,0.333,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,355,1
635,1159,2006-08-08,2006-08-08 00:00:00,0.0,0.0,0.0,1.0,,,,,,,,2.544,,3.285,0.487,9.132,MF-PRO,,9.0,0.774,0.36,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,355,1
636,1160,2006-08-15,2006-08-15 00:00:00,0.0,0.0,0.0,1.0,,,,,,,,1.732,,2.208,0.32,9.243,MF-PRO,,9.2,0.784,0.239,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,355,1
637,1161,2006-08-28,2006-08-28 00:00:00,0.0,0.0,0.0,1.0,,,,,,,,3.876,,3.12,0.433,9.706,MF-PRO,,9.6,1.242,0.321,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,355,1
638,1162,2010-05-12,2010-05-12 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,0.373,,0.245,0.145,2.784,MF-PRO,,2.5,1.522,0.088,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,355,1
639,1163,2010-04-21,2010-04-21 00:00:00,0.0,0.0,0.0,1.0,,,,,,,,0.164,,0.229,0.11,2.688,MF-PRO,,2.5,0.716,0.085,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,355,1
640,1164,2012-10-31,2012-10-31 06:35:00,1.0,6.0,35.0,1.0,,,,,,,,0.821,,0.684,0.256,3.361,MF-PRO,,3.0,1.2,0.204,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,355,1
641,1165,2013-03-06,2013-03-06 06:35:00,1.0,6.0,35.0,1.0,,,,,,,,0.991,,0.771,0.236,3.787,MF-PRO,,3.5,1.285,0.204,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,355,1
642,1166,2013-07-31,2013-07-31 09:25:00,1.0,9.0,25.0,1.0,,,,,,,,3.577,,2.6,0.371,8.122,MF-PRO,,8.0,1.376,0.32,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,355,1
643,1167,2013-09-18,2013-09-18 06:00:00,1.0,6.0,0.0,1.0,,,,,,,,1.599,,1.672,0.256,7.358,MF-PRO,,7.0,0.956,0.227,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,355,1
644,1168,2014-02-26,2014-02-26 09:10:00,1.0,9.0,10.0,1.0,,,,,,,,3.249,,3.17,0.513,6.641,MF-PRO,,6.0,1.025,0.477,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,355,1
645,1169,2014-03-12,2014-03-12 09:50:00,1.0,9.0,50.0,1.0,,,,,,,,2.97,,4.008,0.436,10.317,MF-PRO,,9.6,0.741,0.388,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,355,1
646,1170,2014-11-05,2014-11-05 11:40:00,1.0,11.0,40.0,1.0,,,,,,,,2.601,,3.245,0.366,9.491,MF-PRO,,9.0,0.802,0.342,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,355,1
647,1171,2015-04-08,2015-04-08 10:30:00,1.0,10.0,30.0,1.0,,,,,,,,4.312,,4.22,0.422,11.152,MF-PRO,,11.0,1.022,0.378,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,355,1
648,1172,2015-02-09,2015-02-09 07:50:00,0.0,7.0,50.0,1.0,,,,,,,,0.61,,1.631,0.337,8.746,MF-PRO,,8.1,0.374,0.186,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,355,1
649,1173,2016-06-15,2016-06-15 10:14:00,1.0,10.0,14.0,1.0,,,,,,,,1.851,,2.235,0.389,6.61,MF-PRO,,6.0,0.828,0.338,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,355,1
650,1174,2004-03-17,2004-03-17 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,12.79,,16.557,0.458,38.56,MF-PRO,,38.4,0.772,0.429,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,356,1
651,1175,2004-04-14,2004-04-14 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,6.702,,8.915,0.529,17.459,MF-PRO,,17.0,0.752,0.511,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,356,1
652,1176,2004-04-28,2004-04-28 00:00:00,0.0,0.0,0.0,1.0,,,,,,,,22.948,,24.46,0.679,38.229,MF-PRO,,38.0,0.938,0.64,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,356,1
653,1177,2004-05-12,2004-05-12 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,8.516,,9.785,0.59,17.525,MF-PRO,,17.0,0.87,0.558,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,356,1
654,1178,2004-07-14,2004-07-14 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,7.811,,11.59,0.588,20.67,MF-PRO,,20.0,0.674,0.561,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,356,1
655,1179,2004-07-14,2004-07-14 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,7.69,,12.45,0.581,22.863,MF-PRO,,22.0,0.618,0.545,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,356,1
656,1180,2004-07-14,2004-07-14 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,7.075,,11.385,0.543,21.812,MF-PRO,,21.0,0.621,0.522,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,356,1
657,1181,2004-07-27,2004-07-27 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,5.926,,11.67,0.525,22.774,MF-PRO,,22.0,0.508,0.512,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,356,1
658,1182,2004-07-27,2004-07-27 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,7.808,,13.55,0.557,24.882,MF-PRO,,24.0,0.576,0.545,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,356,1
659,1183,2004-07-27,2004-07-27 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,10.514,,15.34,0.576,26.907,MF-PRO,,26.0,0.685,0.57,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,356,1
660,1184,2004-08-18,2004-08-18 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,26.546,,24.78,0.709,36.923,MF-PRO,,36.0,1.071,0.671,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,356,1
661,1185,2004-08-18,2004-08-18 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,17.082,,20.02,0.556,38.18,MF-PRO,,38.0,0.853,0.524,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,356,1
662,1186,2004-08-29,2004-08-29 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,14.029,,20.07,0.566,36.742,MF-PRO,,36.0,0.699,0.546,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,356,1
663,1187,2004-09-08,2004-09-08 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,13.576,,20.5,0.557,38.209,MF-PRO,,38.0,0.662,0.537,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,356,1
664,1188,2006-05-08,2006-05-08 00:00:00,2.0,0.0,0.0,1.0,,,,,,,,48.099,,35.618,1.005,39.189,MF-PRO,,38.5,1.35,0.909,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,356,1
665,1189,2006-05-30,2006-05-30 00:00:00,2.0,0.0,0.0,1.0,,,,,,,,43.061,,28.033,0.774,38.691,MF-PRO,,38.0,1.536,0.725,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,356,1
666,1190,2006-06-11,2006-06-11 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,28.438,,29.634,0.828,39.279,MF-PRO,,38.8,0.96,0.754,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,356,1
667,1191,2006-06-27,2006-06-27 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,21.532,,27.1,0.764,38.753,MF-PRO,,38.4,0.795,0.699,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,356,1
668,1192,2006-07-17,2006-07-17 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,18.193,,23.69,0.653,38.786,MF-PRO,,38.0,0.768,0.611,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,356,1
669,1193,2006-07-24,2006-07-24 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,14.366,,21.17,0.591,38.549,MF-PRO,,38.3,0.679,0.549,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,356,1
670,1194,2006-07-30,2006-07-30 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,23.09,,29.94,0.813,39.883,MF-PRO,,39.0,0.771,0.751,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,356,1
671,1195,2006-08-08,2006-08-08 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,17.916,,23.973,0.644,39.752,MF-PRO,,39.5,0.747,0.603,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,356,1
