,id,fecha,date,calidad,hora,minuto,aforo,x_lamina,y_lamina,tipo_salida,tramo,codigo_sensor_nivel,codigo_sensor_vel_sup,tipo_aforo,caudal_total,error_caudal,area_mojada,profundidad_media,perimetro_mojado,dispositivo,error_dispositivo,ancho_superficial,velocidad_promedio,radio_hidraulico,longitud,latitud,texto_1,texto_2,timestamp,updated,offset,item_fk_id,user_id
228,752,2014-11-12,2014-11-12 16:50:00,0.0,16.0,50.0,1.0,,,,,,,,0.0,,62.848,2.197,31.617,MF-PRO,,29.8,0.0,1.988,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,309,1
229,753,2015-02-24,2015-02-24 14:05:00,0.0,14.0,5.0,1.0,,,,,,,,0.0,,22.8,1.098,23.569,MF-PRO,,22.0,0.0,0.967,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,309,1
230,754,2015-03-11,2015-03-11 08:05:00,1.0,8.0,5.0,1.0,,,,,,,,14.304,,21.161,0.92,24.555,MF-PRO,,23.8,0.676,0.862,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,309,1
231,755,2015-06-05,2015-06-05 07:43:00,1.0,7.0,43.0,1.0,,,,,,,,11.414,,17.03,0.922,19.52,MF-PRO,,18.0,0.67,0.872,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,309,1
232,756,2004-09-22,2004-09-22 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,0.384,,0.932,0.296,3.669,MF-PRO,,3.2,0.412,0.254,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,310,1
233,757,2004-07-29,2004-07-29 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,0.157,,0.153,0.064,2.612,MF-PRO,,2.6,1.026,0.059,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,311,1
234,758,2010-03-23,2010-03-23 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,0.019,,0.104,0.07,1.758,MF-PRO,,1.725,0.183,0.059,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,311,1
235,759,2015-02-09,2015-02-09 07:36:00,0.0,7.0,36.0,1.0,,,,,,,,0.046,,0.071,0.159,0.752,MF-PRO,,0.5,0.648,0.094,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,311,1
236,760,2004-08-03,2004-08-03 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,0.069,,0.084,0.068,1.514,MF-PRO,,1.5,0.821,0.055,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,312,1
237,761,2004-09-22,2004-09-22 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,0.602,,1.705,0.327,5.472,MF-PRO,,5.0,0.353,0.312,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,313,1
